"","id","stNumber","stName","type","capacity"
"392",7626052,2704,"danforth ave",NA,1
"393",7626053,145,"queen st e",NA,1
"394",7626054,103,"mc caul st",NA,1
"395",7626055,2419,"yonge st","Ring",1
"396",7626056,14,"temperance st","Ring",1
"397",7626057,1303,"queen st w","Rack",1
"398",7626058,599,"yonge st","Ring",1
"399",7626059,907,"kingston rd","Ring",1
"400",7626060,3080,"yonge st","Ring",1
"401",7626061,77,"howard st",NA,1
"402",7626062,77,"howard st",NA,1
"403",7626063,77,"howard st",NA,1
"404",7626064,77,"howard st",NA,1
"405",7626065,1497,"queen st w",NA,1
"406",7626066,156,"coxwell ave",NA,1
"407",7626067,165,"augusta ave",NA,1
"408",7626068,21,"dundonald st",NA,1
"409",7626069,175,"dundas st e","Ring",1
"410",7626070,149,"baldwin st",NA,1
"411",7626071,20,"queen st w","Ring",1
"412",7626072,819,"bathurst st",NA,1
"413",7626073,286,"eglinton ave w","Ring",1
"414",7626074,700,"university ave",NA,1
"415",7626075,324,"richmond st w","Ring",1
"416",7626076,700,"university ave",NA,1
"417",7626077,245,"eglinton ave e","Ring",1
"418",7626078,16,"waller ave","Rack",1
"419",7626079,201,"sherbourne st",NA,1
"420",7626080,438,"dundas st e",NA,1
"421",7626081,1794,"eglinton ave w","Ring",1
"422",7626082,77,"gerrard st w","Ring",1
"423",7626083,194,"wellesley st e",NA,1
"424",7626084,106,"king st e",NA,1
"425",7626085,50,"queen st w","Ring",1
"426",7626086,175,"dundas st e","Ring",1
"427",7626087,136,"napanee crt",NA,1
"428",7626088,4709,"dundas st w",NA,1
"429",7626089,620,"university ave","Ring",1
"430",7626090,11,"orde st",NA,1
"431",7626091,11,"orde st",NA,1
"432",7626092,180,"john st","Ring",1
"433",7626093,2,"sussex ave",NA,1
"434",7626094,34,"western battery rd",NA,1
"435",7626095,1229,"queen st w",NA,1
"436",7626096,375,"adelaide st w",NA,1
"437",7626097,3079,"dundas st w",NA,1
"438",7626099,50,"blue jays way","Ring",1
"439",7626100,641,"eglinton ave w","Ring",1
"440",7626101,20,"albert st","Ring",1
"441",7626102,54,"hoskin ave",NA,1
"442",7626103,604,"king st w","Ring",1
"443",7626104,620,"king st w","Ring",1
"444",7626105,720,"mount pleasant rd",NA,1
"445",7626106,2174,"eglinton ave w","Ring",1
"446",7626107,87,"avenue rd","Ring",1
"447",7626108,149,"baldwin st",NA,1
"448",7626109,564,"eglinton ave w","Ring",1
"449",7626110,650,"king st w","Ring",1
"450",7626111,3,"rees st",NA,1
"451",7626112,620,"university ave","Ring",1
"452",7626113,11,"orde st",NA,1
"453",7626114,620,"king st w","Ring",1
"454",7626115,363,"bremner blvd","Ring",1
"455",7626116,192,"bloor st w","Ring",1
"456",7626117,1545,"bloor st w",NA,1
"457",7626118,1076,"bay st","Ring",1
"458",7626119,1076,"bay st","Ring",1
"459",7626120,1076,"bay st","Ring",1
"460",7626121,1000,"bay st","Ring",1
"461",7626122,1000,"bay st","Ring",1
