_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
5914982,1572,BP-19667,229,Queen St E,Sherbourne St,West,Queen St E,South,,13.0,Historic Queen East,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3694672301, 43.6542742086)}"
5914983,1573,BP-19535,160,Adelaide St W,Adelaide St W,North,University Ave,East,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3850113096, 43.6490449994)}"
5914984,1576,BP-19540,141,Adelaide St W,Adelaide St W,South,York St,West,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3843535871, 43.6490584501)}"
5914985,1577,BP-19541,141,Adelaide St W,York St,West,Adelaide St W,South,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3840315645, 43.648861075)}"
5914986,1578,BP-19542,141,Adelaide St W,York St,West,Adelaide St W,South,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3840240959, 43.648838465)}"
5914987,1579,BP-19543,279,Yonge St,Yonge St,East,Dundas Sq,South,,13.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3805084428, 43.655570074)}"
5914988,1581,BP-19546,33,Front St E,Scott St,West,Front St E,North,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3758789694, 43.647572592)}"
5914989,1582,BP-19547,33,Front St E,Scott St,West,Front St E,North,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.375888413, 43.6475916761)}"
5914990,1583,BP-19548,26,Wellington St E,Scott St,East,Colborne St,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3761471891, 43.6485942406)}"
5914991,1584,BP-19550,26,Wellington St E,Scott St,East,Colborne St,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3761229202, 43.6485386039)}"
5914992,1585,BP-19552,26,Wellington St E,Scott St,East,Colborne St,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3760912388, 43.6484646954)}"
5914993,1586,BP-19553,18,Church St,Church St,West,Front St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3736621433, 43.647929804)}"
5914994,1587,BP-19554,63,Front St E,Front St E,South,Church St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3739224028, 43.648271405)}"
5914995,1588,BP-19555,63,Front St E,Front St E,South,Church St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3739550461, 43.6482574439)}"
5914996,1589,BP-19556,63,Front St E,Front St E,South,Church St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3739881369, 43.6482429162)}"
5914997,1590,BP-19557,67,Front St E,Front St E,South,Church St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3734652206, 43.648496285)}"
5914998,1591,BP-19559,22,Church St,Church St,West,Wellington St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3737424482, 43.6481412898)}"
5914999,1592,BP-19560,22,Church St,Church St,West,Wellington St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3737337767, 43.6481148432)}"
5915000,1593,BP-19561,22,Church St,Church St,West,Wellington St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3737237628, 43.6480901684)}"
5915001,1594,BP-19563,147,Lower Jarvis St,Lower Jarvis St,East,Front St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3711796709, 43.6491088495)}"
5915002,1595,BP-19564,147,Lower Jarvis St,Lower Jarvis St,East,Front St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3711663369, 43.6490835676)}"
5915003,1596,BP-19565,141,Lower Jarvis St,Lower Jarvis St,East,Front St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3711494597, 43.6490515308)}"
5915004,1597,BP-19566,125,George St,George St,East,Richmond St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3714284018, 43.6527004919)}"
5915005,1598,BP-19568,185,King St E,George St,West,King St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3706986955, 43.6505590108)}"
5915006,1599,BP-19569,185,King St E,George St,West,King St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3706835876, 43.6505284791)}"
5915007,1600,BP-19570,185,King St E,George St,West,King St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3706702451, 43.650495582)}"
5915008,1601,BP-19571,161,Frederick St,Frederick St,East,King St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3691766547, 43.6506562851)}"
5915009,1605,BP-10787,550,Eglinton Ave W,,,Russell Hill Rd,,,8.0,The Eglinton Way,Rack,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4154906499, 43.7032426195)}"
5915010,1620,BP-11622,518,Danforth Ave,,,Danforth Ave,,,14.0,Greektown on the Danforth,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3484718649, 43.6784267732)}"
5915011,1643,BP-07030,2210,Yonge St,Yonge St,West,Eglinton Ave W,South,,12.0,,Ring,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3983629808, 43.7064207774)}"
5915012,1686,BP-08519,9,Morrow Ave,,,Dundas St W,,,4.0,,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4472606222, 43.6521978824)}"
5915013,1723,BP-07641,2458,Bloor St W,,,Bloor St W,,,4.0,Bloor West Village,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4858849515, 43.6488002082)}"
5915014,1771,BP-10140,1554,Queen St W,,,Dowling Ave,,,4.0,Parkdale Village,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4399803255, 43.6399896792)}"
5915015,1783,BP-09189,145,Queens Quay W,,,York St,,,10.0,The Waterfront,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3799067429, 43.6398007989)}"
5915016,1802,BP-07546,61,Hanna Ave,,,Hanna Ave,,,10.0,Liberty Village,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4177522572, 43.6396823489)}"
5915017,1925,BP-14901,1,Grenville St,,,Wood St,,,13.0,Downtown Yonge,,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3838002494, 43.661971418)}"
5915018,1951,BP-15336,302,Eglinton Ave W,,,Avenue Rd,,,8.0,The Eglinton Way,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4081786315, 43.7047584383)}"
5915019,1996,BP-13373,1929,Davenport Rd,,,Laughton Ave,,,9.0,,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4560436816, 43.6702121884)}"
5915020,2006,BP-04949,382,Bathurst St,,,Nassau St,,,11.0,,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4066028473, 43.6534980915)}"
5915021,2023,BP-15735,3,Chaplin Cres,,,Chaplin Cres,,,12.0,Midtown Yonge,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3968251485, 43.6979765963)}"
5915022,2029,BP-12570,5160,Yonge St,,,Park Home Ave,,,18.0,Willowdale,Ring,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4130202138, 43.7690277964)}"
5915023,2049,BP-10316,27,Roncesvalles Ave,,,Grafton Ave,,,4.0,Roncesvalles Village,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4463417613, 43.6396518249)}"
5915024,2067,BP-16628,1802,Eglinton Ave W,,,Dufferin St,,,8.0,York-Eglinton,Ring,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4492700275, 43.6959953621)}"
5915025,2093,BP-19625,595,Bay St,Edward St,South,Bay St,East,,11.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3837231084, 43.6564048889)}"
5915026,2094,BP-19626,595,Bay St,Edward St,South,Bay St,East,,11.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3836925677, 43.6564139042)}"
5915027,2095,BP-19627,595,Bay St,Edward St,South,Bay St,East,,11.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3836626767, 43.6564203007)}"
5915028,2096,BP-19629,285,Victoria St,Victoria St,East,Dundas St E,North,,13.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3797414133, 43.6568753567)}"
