"stName","trafficCountAvg","trafficlightCount","bikeStationCount","subwayStationCount","bikeShopCount"
"mclevin ave",165.53125,1,0,0,0
"mcmurray ave",25.875,1,0,0,0
"mcnicoll ave",1119.875,1,0,0,0
"meadowacres dr",19.375,1,0,0,0
"meadowglade cres",22.1875,1,0,0,0
"meadowvale rd",338.15625,1,0,0,0
"merrill ave e",248.71875,1,0,0,0
"merton st",386.46875,1,3,0,0
"middlefield rd",583.34375,1,0,0,0
"midland ave",1774.90625,2,0,1,0
"military tr",300.71875,1,0,0,0
"military trl e",223.40625,1,0,0,0
"mill st",776.125,2,1,0,0
"milliken blvd",412.71875,1,0,0,0
"monarch park ave",81.78125,1,0,0,0
"montgomery ave",173.25,1,0,0,0
"montrose ave",338.34375,1,0,0,0
"morningside ave",830.3125,1,0,0,0
"morrish rd",65.84375,1,0,0,0
"morse st",338.5,1,2,0,0
"mortimer ave",496.71875,1,3,0,0
"mount pleasant rd",3195.46875,7,1,0,0
"mount pleasant rd e",395.875,1,0,0,0
"mount pleasant rd w",469.9375,1,0,0,0
"mulberry cres",35.75,1,0,0,0
"munro st",222.4375,1,0,0,0
"musgrave st",434.0625,1,0,0,0
"neilson rd",300.71875,1,0,0,0
"newgate rd",23.4375,1,0,0,0
"north queen st",534,1,0,0,0
"north york blvd",229.5625,1,0,0,0
"norwood rd",298.4375,1,0,0,0
"nymark ave",48.65625,1,0,0,0
"o connor dr",598.15625,1,0,0,0
"oak park ave",95.28125,1,0,0,0
"oakmount rd",365.375,1,0,0,0
"oakridge dr",121.78125,1,0,0,0
"oakwood ave",732.9375,3,1,0,0
"oconnor dr",638.6875,1,0,0,0
"old forest hill rd",65.90625,1,0,0,0
"ontario st",1005.65625,5,2,0,0
"orchard view blvd",203.0625,1,0,0,0
"oriole pkwy",413.4375,1,1,0,0
"ossington ave",819.1875,2,1,1,1
"overbrook pl",190.53125,1,0,0,0
"overlea blvd",487.03125,1,0,0,0
"pape ave",621.96875,1,2,1,0
"parfield dr",23.40625,1,0,0,0
"parkland rd",55.34375,1,0,0,0
"parkside dr",981.46875,2,1,0,0
"parkview gnds",302.6875,1,0,0,0
"parliament st",3913.96875,10,2,0,1
"paulson rd",253.71875,1,0,0,0
"peel ave",278.6875,1,0,0,0
"pembroke st",216.3125,1,0,0,0
"pharmacy ave",1733.53125,5,0,0,0
"phin ave",24.21875,1,0,0,0
"pimlico rd",504.78125,1,0,0,0
"pine st",392.46875,1,0,0,0
"plains rd",53.71875,1,2,0,0
"port union rd",231.46875,1,0,0,0
"princes st",182.625,1,0,0,0
"princess st",402.625,1,4,0,0
"progress ave",148.1875,1,0,0,0
"provost dr",136.53125,1,0,0,0
"quebec ave",242.25,1,0,0,0
"queen st",1605.375,7,0,1,0
"queen st ",605.53125,1,0,0,0
"queen st e",847.78125,2,8,0,6
"queen st w",1855.65625,3,5,0,4
"queens park cr e",426.28125,1,0,0,0
"queens park cres w",312.78125,1,0,0,0
"radine rd",107.15625,3,0,0,0
"ralph st ",422.875,1,0,0,0
"rathburn rd",141.375,1,0,0,0
"redcliff blvd",23.0625,1,0,0,0
"redpath ave",701.09375,3,6,0,0
"reeve ave",144.25,1,0,0,0
"regent park blvd",205.34375,1,2,0,0
"regent st",241.9375,1,0,0,0
"reiner rd",113.21875,1,0,0,0
"richmond st",706.1875,2,0,0,0
"richmond st e",333.28125,1,2,0,0
"ritchie ave",296.21875,1,0,0,0
"river st",1573.4375,5,2,0,0
"river st ramp",282.125,1,0,0,0
"robert st",418.4375,1,5,0,0
"roehampton ave",384.625,1,2,0,0
"rogers rd",1098.46875,3,0,0,0
"roncesvalles ave",776.75,2,9,0,2
"rosebank dr",148.1875,1,0,0,0
"rosedale valley rd",556.875,1,0,0,0
"rosehill ave",359.75,1,1,0,0
"roselawn ave",155.59375,1,0,0,0
"rosemount ave",613.5625,2,0,0,0
"rosewell ave",411.0625,1,0,0,0
"rosseau rd",30.15625,1,0,0,0
"rotary dr",146.78125,1,0,0,0
"roxborough st e",333.25,1,0,0,0
"roxborough st w",353.1875,1,1,0,0
"royal dr",431.75,1,0,0,0
"royal york ct and royal york rd",467.9375,1,0,0,0
"royal york rd",266.28125,1,3,1,0
"roywood dr",29.53125,1,0,0,0
"runnymede rd",1374.40625,3,1,1,0
"ruscica dr",107.9375,1,0,0,0
"russell st",273.34375,1,1,0,0
"rustic rd",610.875,1,0,0,0
"ryding ave",334.59375,1,0,0,0
"rylander blvd",519.1875,1,0,0,0
"sackville st",362.9375,1,1,0,0
"salem ave",307.125,1,2,0,0
"salem ave n",97.03125,1,0,0,0
"sammon ave",690.9375,9,0,0,0
"sandhurst cir",80.75,1,0,0,0
"sandhurst cir w",209.71875,1,0,0,0
"saranac blvd",553.375,1,0,0,0
"saskatoon dr",18.75,1,0,0,0
"scarborough golf club rd",1236.84375,2,0,0,0
"scarlett rd",988.59375,2,19,0,0
"scott rd",366.125,1,0,0,0
"scott st",628.25,3,6,0,0
"scrivener sq",356.0625,1,0,0,0
"selwyn ave",36.8125,1,0,0,0
"seneca hill dr",45.6875,1,0,0,0
"sewells rd",265.90625,2,0,0,0
"sharpecroft blvd",68.9375,1,0,0,0
"shaughnessy blvd",700.96875,7,0,0,0
"shaver ave",377.59375,1,0,0,0
"shaw st",413,1,1,0,0
"sheppard ave",5018.75,6,0,0,0
"sheppard ave e",479.75,1,0,0,0
"sherbourne st",1041.375,2,2,1,0
"shoppers drug mart m north of chelsea ave",391.90625,1,0,0,0
"shuter st",1112.71875,7,0,0,0
"sibley ave",340.25,1,0,0,0
"silkwood cres",47.03125,1,0,0,0
"silverthorn ave",315.28125,1,0,0,0
"silverthorn ave / st clair ave",351.3125,1,0,0,0
"singer crt",136.53125,1,0,0,0
"sloane ave",107.9375,1,0,0,0
"somerset ave",51.65625,1,0,0,0
"sorauren ave",457.78125,1,0,0,1
"soudan ave",921.59375,4,0,0,0
"south station st",357.21875,1,0,0,0
"spadina ave",326.96875,1,1,1,0
"spadina ave and fort york blvd",770.5,1,0,0,0
"spadina rd",700.46875,3,1,0,0
"spalding rd",27.65625,1,0,0,0
"spenvalley dr",86.09375,1,0,0,0
"st clair ave",4250.46875,7,1,0,0
"st clair ave e",393.375,1,0,0,0
"st clair ave w",1129.3125,2,1,0,1
"st george st",273.34375,1,0,0,0
"st georges rd",48.125,1,0,0,0
"st helens ave",10.71875,1,0,0,0
"st johns rd",122.1875,2,0,0,0
"steeles ave",2062.8125,3,0,0,0
"strachan ave",210.71875,1,1,0,0
"sumach st",864.96875,4,1,0,0
"summer dr",203.25,1,0,0,0
"sunburst sq",32.4375,1,0,0,0
"sunrise ave",330.40625,1,0,0,0
"symington ave",884.96875,2,2,0,0
"tapscott rd",124.4375,1,0,0,0
"tedder st",24.25,1,0,0,0
"terraview blvd",52.8125,1,0,0,0
"the donway north",392.0625,1,0,0,0
"the donway w",99.4375,1,0,0,0
"the east mall",534,1,0,0,0
"the esplanade",2798.21875,10,2,0,0
"the queensway",803.6875,1,1,0,0
"the west mall",166.6875,1,0,0,1
"the westway",152.09375,1,0,0,0
"the wynd",141.375,1,0,0,0
"thermos rd",273.875,1,0,0,0
"thirty-seventh st",433.875,1,0,0,0
"thorncliffe park dr w",487.03125,1,0,0,0
"three valleys dr",31.90625,1,0,0,0
"thurodale ave",24.25,1,0,0,0
"thyra ave",448.5,1,0,0,0
"torrington dr",87.0625,1,0,0,0
"townsend rd",634.625,1,0,0,0
"trehorne dr",152.09375,1,0,0,0
"trethewey dr",542.28125,2,0,0,0
"trinity st",424.25,3,0,0,0
"tubman ave",193.21875,1,0,0,0
"tweedsmuir ave",519.96875,2,0,0,0
"university ave",2154.03125,3,1,0,0
"upton rd",341.21875,1,0,0,0
"varna dr",601.25,1,0,0,0
"vaughan rd",282.4375,1,1,0,0
"victoria park ave",2971.28125,5,2,1,0
"vine ave",25.875,1,0,0,0
"w r allen rd",1287.6875,1,0,0,0
"wales ave",39.53125,1,0,0,0
"wallace ave",401.375,1,1,0,0
"warden ave",3703.125,8,0,1,0
"welland ave",123.6875,1,0,0,0
"wellesley st",488.59375,1,1,1,0
"wellesley st w",1055.3125,2,1,0,0
"wellesworth dr",87.0625,1,0,0,0
"wellington st",711.59375,1,0,0,0
"westhumber blvd",231.15625,2,0,0,0
"westmoreland ave n",95.5625,1,0,0,0
"weston rd",1384.9375,3,1,0,0
"westona st",209.5,1,0,0,0
"westview blvd",116.46875,5,0,0,0
"whitburn cres",580.8125,1,0,0,0
"white heather blvd",80.75,1,0,0,0
"wicklow dr e",33.96875,1,0,0,0
"wicksteed ave",144,1,0,0,0
"widdicombe hill blvd",334.28125,1,0,0,0
"william r allen rd n",658.9375,1,0,0,0
"william r allen rd s",641.59375,1,0,0,0
"wilmington ave",625.65625,2,0,0,0
