street1,street2,avg
glen rush blvd,lawrence ave,475.8125
glenhurst ave,oakwood ave,258.375
glenlake ave,keele st,421.53125
glenmount ave,hillmount ave,61.625
godstone rd,kingslake rd,83.15625
gormley ave,lascelles blvd,14.90625
greenwood ave,sammon ave,179.125
groveland cres w,three valleys dr,31.90625
hanson st,hillingdon ave,52.6875
havenbrook blvd,shaughnessy blvd,32.25
heath st e,welland ave,123.6875
heath st w,tweedsmuir ave,180.875
heath st w,yonge st,498.1875
high park ave,humberside ave,134.6875
holland park ave,winona dr,52.625
hoskin ave,queens park cres w,312.78125
hounslow heath rd,silverthorn ave / st clair ave,351.3125
howard park ave,parkside dr,510.96875
howard park ave,roncesvalles ave,360.375
howard st,sherbourne st,394.625
humber college blvd,humberline dr,147.96875
humberside ave,keele st,390.3125
huntingwood dr,kennedy rd,648.75
huntingwood dr,midland ave,462.65625
huntingwood dr,pharmacy ave,265.53125
huntingwood dr,warden ave,562.125
indian grove,indian valley cres,17.15625
indian valley cr,parkside dr,470.5
irving rd,keele st,261.71875
islington ave,graystone gnds and springbrook gnds,513.6875
islington ave,market garden mews,603.96875
janet blvd,victoria park ave,530
jarvis st,king st,423.53125
joanith dr,westview blvd,9.90625
john st,weston rd,292.75
keele st,lawrence ave,992.34375
keele st,rustic rd,610.875
keele st,whitburn cres,580.8125
keewatin ave,mount pleasant rd,368.21875
kennedy rd,summer dr,203.25
king georges dr,trethewey dr,288.5625
king st,ontario st,166.75
king st,parliament st,318.375
king st,river st,264.5
kingston rd,lawrence ave,871.0625
kingston rd,manderley dr,326.5
kingston rd,markham rd,726.75
kingston rd,rylander blvd,519.1875
kingston rd,scarborough golf club rd,656.53125
kingston rd,victoria park ave,793.15625
kingston rd,warden ave,396.21875
kipling ave,widdicombe hill blvd,334.28125
knighton dr,wyndcliff cres,60.65625
lake shore blvd,legion rd,332.40625
lake shore blvd,logan ave,879.3125
lake shore blvd,spadina ave,326.96875
lake shore blvd,thirty-seventh st,433.875
lake shore blvd,windermere ave,862.46875
lake shore blvd w,long branch ave,383.9375
lambeth rd,royal york ct and royal york rd,467.9375
lankin blvd,plains rd,53.71875
laurelcrest ave,rosseau rd,30.15625
lavinia ave,morningside ave,98.28125
lawrence ave,ledbury st,500.375
lawrence ave,leslie st,968.34375
lawrence ave,marlee ave,690.90625
lawrence ave,mccowan rd,1070.375
lawrence ave,pimlico rd,504.78125
lawrence ave,pine st,392.46875
lawrence ave,port union rd,231.46875
lawrence ave,ralph st ,422.875
lawrence ave,rosewell ave,411.0625
lawrence ave,scarborough golf club rd,580.3125
lawrence ave,scarlett rd,648.3125
lawrence ave,south station st,357.21875
lawrence ave,varna dr,601.25
lawrence ave,weston rd,659.40625
lawrence ave,westona st,209.5
lawrence ave,yonge st,1014.03125
lawrence ave e,meadowvale rd,191.375
lawrence ave e,mount pleasant rd e,395.875
lawrence ave e,mount pleasant rd w,469.9375
lawrence ave w,william r allen rd n,658.9375
lawrence ave w,william r allen rd s,641.59375
lee ave,queen st e,407.09375
leslie st,queen st,267.40625
leslie st,wicksteed ave,144
linsmore cr,sammon ave,48.15625
linus rd,seneca hill dr,45.6875
lismore rd,old forest hill rd,65.90625
lower jarvis st,the esplanade,589.09375
lower jarvis st,wilton st,448.15625
lower sherbourne st,the esplanade,231.6875
lumbervale ave,st helens ave,10.71875
lumsden ave,main st,190.75
macpherson ave,madison ave,40.78125
malvern st,mammoth hall trl,90.1875
mammoth hall trl,sunburst sq,32.4375
maniza rd,spalding rd,27.65625
market st,the esplanade,441.125
market st,wilton st,250.96875
mayfield ave,windermere ave,153.78125
mccowan rd,mcnicoll ave,707.15625
mccowan rd,oakridge dr,121.78125
mclevin ave,sewells rd,165.53125
mcmurray ave,vine ave,25.875
mcnicoll ave,milliken blvd,412.71875
meadowacres dr,pharmacy ave,19.375
meadowglade cres,shaughnessy blvd,22.1875
meadowvale rd,rotary dr,146.78125
