location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
4995,RUSSELL ST AT ST GEORGE ST,-79.396937609,43.660446592,2,13465081,,40283,2020-02-11
4996,ST GEORGE ST AT WILLCOCKS ST (PX 837),-79.3976220050211,43.6620839980631,2,13464829,837,28457,2012-02-06
4997,HARBORD ST AT HOSKIN AVE & ST GEORGE ST (PX 838),-79.3984440025076,43.6641089977453,2,13464524,838,42351,2021-08-12
4998,MCLEVIN AVE AT TAPSCOTT RD (PX 1555),-79.2266869973814,43.8051820040685,2,13442839,1555,39423,2019-06-12
4999,BLACKWELL AVE AT TAPSCOTT RD (PX 1776),-79.2209240002356,43.8055789957971,2,13442796,1776,39905,2020-07-22
5000,FRONT ST AT JOHN ST (PX 1417),-79.3887170017963,43.6439689976897,2,13467695,1417,32253,2015-04-20
5001,JOHN ST AT QUEEN ST (PX 1461),-79.3911370012881,43.6498969990836,2,13466770,1461,38317,2019-02-02
5002,AVENUE RD AT DAVENPORT RD (PX 108),-79.3966049963071,43.674724004454,2,13462724,108,36877,2018-03-24
5003,AVENUE RD AT YORKVILLE AVE (PX 968),-79.394820003394,43.6703849972626,2,13463425,968,38227,2019-01-26
5005,AVENUE RD AT HILLHURST BLVD (PX 1770),-79.4117229967727,43.7120939973452,2,13456247,1770,28595,2012-03-26
5006,AVENUE RD AT STRATHALLAN BLVD,-79.411996177,43.714889554,2,13455790,,35689,2017-04-06
5007,AVENUE RD AT LAWRENCE AVE (PX 119),-79.4156090060983,43.7222550020132,2,13454662,119,40825,2020-02-29
5008,AVENUE RD AT CARMICHAEL AVE (PX 1768),-79.4205839973403,43.7375609996789,2,13452369,1768,28719,2012-04-19
5009,HOSKIN AVE AT QUEENS PARK CRES W (PX 1482),-79.393897368162,43.6650212493133,2,30021549,1482,42331,2021-08-14
5010,LAKE SHORE BLVD AT YORK ST (PX 205),-79.380867994669,43.6414600021507,2,13467993,205,29125,2012-08-21
5011,HARBOUR ST AT YORK ST & LAKE SHORE BLVD E/B (PX 204),-79.3806909957049,43.6410039969401,2,13468047,204,23961,2009-04-21
5012,BAY ST AT GERRARD ST (PX 67),-79.3848929965795,43.6585100032441,2,13465361,67,38445,2019-03-02
5013,CASTLEFIELD AVE AT DUPLEX AVE (PX 854),-79.4012579965125,43.7114869962214,2,13456322,854,29255,2012-10-10
5014,DUPLEX AVE AT GLENGROVE AVE (PX 855),-79.4039819958458,43.7188970013807,2,13455137,855,41025,2020-10-01
5015,LAWRENCE AVE AT MARCOS BLVD & RUSHLEY DR,-79.258523273,43.752858523,2,13449608,,18839,2006-11-15
5016,LAWRENCE AVE AT MIDLAND AVE (PX 413),-79.2650520049525,43.7515209975058,2,13449830,413,35499,2017-01-09
5017,LAWRENCE AVE AT MOSSBANK DR (PX 1288),-79.2110499947508,43.7628659988759,2,13448109,1288,26711,2010-12-15
5018,LAWRENCE AVE E AT VALPARAISO AVE,-79.246758966,43.755263457,2,13449243,,38609,2019-04-04
5019,LAWRENCE AVE AT OVERTURE RD (PX 1714),-79.199472005908,43.7654469963182,2,13447703,1714,26715,2010-12-14
5020,COLLINSGROVE RD AT LAWRENCE AVE & LING RD (PX 1166),-79.1828359979755,43.7691730021438,2,13447093,1166,37705,2018-08-21
5021,LAWRENCE AVE AT MANSE RD (PX 983),-79.176279001725,43.7706490011496,2,13446875,983,31807,2014-10-22
5022,BENNETT RD AT LAWRENCE AVE (PX 1033),-79.166335999067,43.7728800044659,2,13446543,1033,37699,2018-08-15
5023,1630 LAWRENCE AVE W AT 55M E OF OLYMPIA DR (PX 1624),-79.4909100036065,43.7056899983752,1,446420,1624,40783,2020-03-10
5024,BRUCEWOOD CRES AT GLENMOUNT AVE & LAWRENCE AVE (PX 1326),-79.432972995107,43.7184919997752,2,13455263,1326,40807,2020-03-04
5025,HICKORY TREE RD AT LAWRENCE AVE & LITTLE AVE (PX 500),-79.5198860015234,43.6992819967453,2,13458530,500,40769,2020-03-10
5026,LAWRENCE AVE W AT ROYAL YORK RD & THE WESTWAY (PX 780),-79.53273799661,43.6961610017749,2,13459156,780,40759,2020-03-03
